"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC Part"
"Q1","1","PMF170XP,115","","","","easyeda2kicad:SOT-323-3_L2.0-W1.3-P1.30-LS2.1-BR","https://lcsc.com/product-detail/MOSFET_Nexperia-PMF170XP-115_C389353.html","C389353"
"Q2","1","FS8205A_C2830320","","","","easyeda2kicad:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","","C2830320"
"R1,R17","2","RC0402FR-071ML","","","","easyeda2kicad:R0402","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_1MR-1004-1_C138033.html","C138033"
"R2","1","WR04W2494FTL","","","","easyeda2kicad:R0402","https://lcsc.com/product-detail/Others_Walsin-Tech-Corp-WR04W2494FTL_C368359.html","C368359"
"R3","1","RC0402FR-07100KL","","","","easyeda2kicad:R0402","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_100KR-1003-1_C60491.html","C60491"
"R4,R7,R8,R12,R13","5","RC0402FR-0710KL","","","","easyeda2kicad:R0402","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_10KR-1002-1_C60490.html","C60490"
"R5","1","RC0805FR-072M61L","","","","easyeda2kicad:R0805","https://lcsc.com/product-detail/New-Arrivals_YAGEO-RC0805FR-072M61L_C483050.html","C483050"
"R6","1","ERA2AED753X","","","","easyeda2kicad:R0402","https://lcsc.com/product-detail/New-Arrivals_PANASONIC-ERA2AED753X_C491105.html","C491105"
"R9,R10,R14,R16","4","RC0402FR-075K1L","","","","easyeda2kicad:R0402","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_5-1KR-5101-1_C105872.html","C105872"
"R11","1","RC0201FR-07680RL","","","","easyeda2kicad:R0201","https://lcsc.com/product-detail/Others_YAGEO-RC0201FR-07680RL_C274876.html","C274876"
"SW1","1","TS-1088-AR02016","","","","easyeda2kicad:SW-SMD_L3.9-W3.0-P4.45","https://lcsc.com/product-detail/Tactile-Switches_XUNPU-TS-1088-AR02016_C720477.html","C720477"
"U1","1","SN74LVC1G17DBVR","","","","easyeda2kicad:SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR","https://lcsc.com/product-detail/74-Series_TI_SN74LVC1G17DBVR_SN74LVC1G17DBVR_C7836.html","C7836"
"U2","1","E73-2G4M08S1C","","","",":WIRELM-SMD_E73-2G4M08S1C","https://lcsc.com/product-detail/_Chengdu-Ebyte-Elec-Tech-E73-2G4M08S1C_C356849.html","C356849"
"U3","1","SN74LVC1G74DQER","","","",":X2SON-8_L1.4-W1.0-P0.35-BL","","C2870716"
"U4","1","S2B-PH-K-S(LF)(SN)","","","",":CONN-TH_S2B-PH-K-S-LF-SN","https://lcsc.com/product-detail/PH-Connectors_JST-Sales-America_S2B-PH-K-S-LF-SN_JST-Sales-America-S2B-PH-K-S-LF-SN_C173752.html","C173752"
"U5","1","BL8573CS8TR","","","","easyeda2kicad:ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP","","C2999147"
"U6","1","DW01A_C42380662","","","",":SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL","","C42380662"
"U7","1","LP5024RSMR","","","",":VQFN-32_L4.0-W4.0-P0.40-TL-EP","","C427525"
"U8","1","MAX17048","","","","PCM_SparkFun-Semiconductor-Standard:DFN-8_2x2mm_P0.5mm_EP1.2x0.8mm","https://www.analog.com/media/en/technical-documentation/data-sheets/MAX17048-MAX17049.pdf","C2682616"
"USBC1","1","TYPE-C-31-M-12","","","","easyeda2kicad:USB-C_SMD-TYPE-C-31-M-12_1","https://lcsc.com/product-detail/USB-Type-C_Korean-Hroparts-Elec-TYPE-C-31-M-12_C165948.html","C165948"
"X1","1","FC-13532.768KHZ9PF20PPM","","","","easyeda2kicad:OSC-SMD_L3.2-W1.5","https://lcsc.com/product-detail/SMD-Crystals_EPSON_FC-13532-768KHZ9PF20PPM_FC-135-32-768KHZ-9PF-20PPM_C99010.html","C99010"
